DATES,CAR,SGJ,1834,JMMBGL,JSE,SIL,XFUND,GK,SJ,KPREIT,RJR,KW,SALF,BRG,CBNY,CCC,SVL,138SL,PJAM,PULS,NCBFG,SEP,JBG,JP,BIL,MIL,AMG,AFS,CHL,DTL,ECL,EPLY,GENAC,FOSRICH,JAMT,JETCON,KEX,KREMI,LASD,LASF,LASM,MDS,PTL,PROVEN,tTECH,VMIL,WISYNCO,FCI,GHL,FET,138SLVR
2/1/2018,11.31,50.59,1.3,24,7.05,2.6,14,43.5,35.3,7.7,1.02,32.5,11.5,17,0.37,32,9.77,6.08,44.89,2.2,99,31,17.8,16.5,5.26,5.91,3,36.43,10.9,7.91,4,12,2.85,3.2,4.1,4.95,15,6,3.86,5.15,3.37,4.95,3.07,0.21,6.89,4,12.5,8.2172,17.03,16.45,5.68
3/1/2018, 11.31 , 48.78 , 1.30 , 27.00 , 7.00 , 2.60 , 14.50 , 43.50 , 35.00 , 7.70 , 1.10 , 33.00 , 13.00 , 18.00 , 0.37 , 31.47 , 11.69 , 6.08 , 43.39 , 2.39 , 99.00 , 31.00 , 17.21 , 16.55 , 5.59 , 5.00 ,2.9,42,10.9,7,4.3,12,2.85,3.01,4.1,5,14.8,5,3.52,5.5,3.5,4.95,3.07,0.21,6.5,4.4,12,8.2172,17,16.2,5.68
4/1/2018, 11.17 , 48.68 , 1.30 , 25.00 , 7.00 , 2.60 , 14.50 , 43.00 , 34.65 , 7.70 , 1.05 , 31.01 , 13.00 , 18.00 , 0.37 , 35.50 , 11.62 , 6.08 , 40.40 , 2.10 , 99.50 , 31.00 , 18.00 , 16.50 , 5.60 , 6.00 ,2.9,42,10.9,7,4.2,12,2.95,3,4.5,5,14.8,6.99,3.8,5.6,4.17,4.95,3,0.22,6.5,4.4,11.5,8.2531,17,16.6,5.68
5/1/2018, 11.26 , 49.63 , 1.28 , 25.00 , 7.00 , 2.60 , 15.00 , 43.45 , 34.75 , 7.70 , 1.05 , 33.99 , 11.00 , 18.00 , 0.37 , 32.00 , 11.72 , 6.08 , 41.90 , 2.19 , 98.90 , 31.00 , 18.00 , 16.50 , 5.60 , 6.10 ,2.9,42,10.9,7,4.4,6,2.95,2.5,4.7,4.65,14.8,5,3.8,5.3,4.17,4.95,3.15,0.23,6.5,4.07,10.8,8.2531,16.55,16.6,5.68
8/1/2018, 11.29 , 50.59 , 1.41 , 24.35 , 7.00 , 2.60 , 14.50 , 43.00 , 34.65 , 7.70 , 1.10 , 33.00 , 11.00 , 17.80 , 0.37 , 33.62 , 11.72 , 6.08 , 39.90 , 2.10 , 99.00 , 30.00 , 18.00 , 16.50 , 6.05 , 6.79 ,2.92,43,10.9,7,4.5,12,3,2.5,4.85,4.74,14.8,5.5,3.55,5.39,3.65,5,3.05,0.23,6.6,4,10.39,8.2531,16.55,17.1,5.68
9/1/2018, 11.16 , 47.82 , 1.31 , 25.00 , 7.00 , 2.60 , 14.50 , 43.50 , 35.49 , 6.52 , 1.10 , 33.99 , 12.98 , 18.00 , 0.37 , 35.00 , 11.72 , 6.08 , 41.40 , 2.20 , 99.80 , 30.00 , 18.00 , 16.70 , 6.05 , 7.40 ,2.92,43,10,7,4.5,12,2.95,2.52,4.5,4.5,14.9,5.77,3.7,5.38,3.65,5,3.13,0.23,6.5,3.98,10.2,8.2531,16.55,16.8,5.68
10/1/2018, 11.16 , 49.07 , 1.28 , 25.00 , 7.00 , 2.60 , 14.60 , 43.00 , 36.00 , 7.70 , 1.08 , 33.00 , 15.50 , 17.80 , 0.37 , 34.00 , 11.71 , 6.00 , 40.90 , 2.00 , 99.63 , 29.95 , 17.90 , 16.60 , 6.10 , 7.20 ,2.7,42,10.21,7.04,4.5,12,2.95,2.7,5,4.4,14.85,5.77,3.7,5.38,3.59,4.95,3.58,0.22,6.5,3.91,10,8.3519,16.4,16.55,5.68
11/1/2018, 11.21 , 49.07 , 1.27 , 24.32 , 6.95 , 2.60 , 14.00 , 43.00 , 35.40 , 7.70 , 1.08 , 31.59 , 11.00 , 17.00 , 0.35 , 32.05 , 11.72 , 6.01 , 40.92 , 2.00 , 99.50 , 29.95 , 18.00 , 16.70 , 6.10 , 7.35 ,2.72,42.01,10,7,5,11,2.9,2.9,4.5,4.45,14.85,5.77,3.5,5.41,3.55,4.96,3.47,0.23,6,4,10,8.3519,16.4,17.3,5.68
12/1/2018, 11.16 , 48.20 , 1.27 , 23.80 , 6.95 , 2.60 , 14.00 , 43.36 , 35.00 , 7.70 , 1.10 , 31.15 , 11.00 , 18.00 , 0.35 , 33.26 , 11.72 , 6.01 , 40.40 , 1.90 , 99.02 , 29.00 , 17.50 , 16.50 , 5.99 , 7.00 ,2.55,42.01,10,7,5.2,11,2.95,2.6,4.65,4.45,15,5.79,3.63,5.5,3.35,5,3.59,0.23,6.38,4.15,10.02,8.3519,17,17.35,5.68
15/1/2018, 11.15 , 48.20 , 1.27 , 25.00 , 6.72 , 2.60 , 14.25 , 43.00 , 36.00 , 6.00 , 1.10 , 31.50 , 11.00 , 17.00 , 0.35 , 33.26 , 11.42 , 6.00 , 41.40 , 2.10 , 99.50 , 29.00 , 17.24 , 16.70 , 5.64 , 6.70 ,2.55,42.01,10,7,4.85,11,2.8,2.5,4.54,4.55,15,5.77,3.16,5.4,3.48,5,3.5,0.22,6.38,4.1,9.75,8.3519,17,17.35,5.68
