DATES,CAR,SGJ,1834,JMMBGL,JSE
43102,11.31,50.59,1.3,24,7.05
43103,11.31,48.78,1.3,27,7
43104,11.17,48.68,1.3,25,7
43105,11.26,49.63,1.28,25,7
43108,11.29,50.59,1.41,24.35,7
43109,11.16,47.82,1.31,25,7
43110,11.16,49.07,1.28,25,7
43111,11.21,49.07,1.27,24.32,6.95
43112,11.16,48.2,1.27,23.8,6.95
43115,11.15,48.2,1.27,25,6.72
43116,10.92,47.95,1.27,24.73,6.95
43117,10.93,50.58,1.27,25.11,7
43118,11.16,50.58,1.15,25,7
43119,11.23,47.73,1.2,26,7
43122,11.16,48.2,1.2,24.5,7
43123,11.12,50.54,1.2,26,7
43124,11.23,50.54,1.2,25,6.9
43125,11.15,50.11,1.2,25,7
43126,11.16,48.68,1.2,25,7
43129,11.15,47.77,1.2,24,6.65
43130,11.12,50.54,1.2,24,7
43131,10.87,50.58,1.3,25,6.5
43132,11.04,50.59,1.23,25,6.63
43133,11.02,51.07,1.3,24.5,6.5
43136,10.87,51.07,1.3,25,6.5
43137,10.87,47.73,1.4,24.5,6.45
43138,10.87,47.73,1.4,24,6.45
43139,10.77,48.68,1.39,25.01,6.49
43140,10.87,47.73,1.23,25,6.5
43143,10.82,50.59,1.2,25,6.5
43144,10.82,49.63,1.2,24.52,6.5
43146,10.82,48.25,1.2,25,6.99
43147,10.38,48.25,1.2,25,6.99
43150,10.82,48.3,1.2,25,6.7
43151,10.82,49.16,1.28,24.7,6.7
43152,10.82,49.63,1.3,25,6.21
43153,10.82,49.63,1.3,25,6.7
43154,10.82,51.07,1.3,24.6,7
43157,10.72,50.59,1.2,25,6.45
43158,10.82,50.59,1.15,25,6.45
43159,10.82,49.63,1.17,26,7
43160,10.82,49.63,1.17,24.01,6.55
43161,10.87,47.74,1.19,26,6.55
43164,10.87,48.58,1.19,25,6.7
43165,10.82,48.68,1.19,26.49,6.5
43166,10.82,48.92,1.15,26.49,6.71
43167,10.82,49.63,1.12,26.45,6.5
43168,10.77,51.54,1.1,26,6.5
43171,10.82,54.41,1.15,26.5,6.5
43172,10.77,52.98,1.18,26.5,6.3
43173,10.77,53.45,1.15,26.5,6.5
43174,10.65,51.54,1.03,26.06,6.5
43175,9.98,49.63,1.15,26.31,6
43178,9.98,51.54,1.19,26,6.05
43179,10.32,49.63,1.17,26,6.99
43180,10.23,51.54,1.06,25,6.99
43181,10.23,49.63,1.15,26,6.98
43182,10.28,50.6,1.09,26,6.99
43185,10.77,50.64,1.15,24.7,7
43186,10.77,50.49,1.15,26.45,6.99
43187,10.77,48.54,1.19,25.5,6.8
43188,10.47,51.53,1.19,26,6.7
43193,10.57,51.53,1.2,25.6,6.95
43194,10.77,48.68,1.2,26.5,6.95
43195,10.67,51.07,1.2,26.5,6.97
43196,10.57,49.63,1.2,26,7
43199,10.23,49.63,1.19,26,6.97
43200,10.37,48.2,1.19,26.21,7
43201,10.77,49.63,1.21,26.02,6.97
43202,10.47,49.63,1.2,27,6.5
43203,10.66,47.9,1.2,27.49,6.51
43206,10.67,47.92,1.19,27,7
43207,10.67,47.89,1.07,27.7,6.98
43208,10.77,49.63,1.2,28,6.81
43209,10.67,49.63,1.2,27.25,6.98
43210,10.77,47.88,1.2,28.32,6.5
43297,9.5,50.53,1.05,29.75,7.45
43298,9.5,50.5,1.05,29.55,7.45
43299,9.49,50.5,1.05,29.56,7.45
43300,9.4,51,1.05,30,7.45
43301,9.5,50.1,1.05,30,7.45
43304,9,50.2,1.03,30.02,7.45
43305,9.44,50.25,1.03,30,7.4
43306,9.5,52,1,30,7.99
