DATES,CAR,SGJ,1834,JMMBGL,JSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2018,11.31,50.59,1.3,24,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018, 11.31 , 48.78 , 1.30 , 27.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2018, 11.17 , 48.68 , 1.30 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2018, 11.26 , 49.63 , 1.28 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2018, 11.29 , 50.59 , 1.41 , 24.35 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2018, 11.16 , 47.82 , 1.31 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2018, 11.16 , 49.07 , 1.28 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2018, 11.21 , 49.07 , 1.27 , 24.32 , 6.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2018, 11.16 , 48.20 , 1.27 , 23.80 , 6.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/1/2018, 11.15 , 48.20 , 1.27 , 25.00 , 6.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/1/2018, 10.92 , 47.95 , 1.27 , 24.73 , 6.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/1/2018, 10.93 , 50.58 , 1.27 , 25.11 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/1/2018, 11.16 , 50.58 , 1.15 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/1/2018, 11.23 , 47.73 , 1.20 , 26.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/1/2018, 11.16 , 48.20 , 1.20 , 24.50 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/1/2018, 11.12 , 50.54 , 1.20 , 26.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/1/2018, 11.23 , 50.54 , 1.20 , 25.00 , 6.90 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/1/2018, 11.15 , 50.11 , 1.20 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/1/2018, 11.16 , 48.68 , 1.20 , 25.00 , 7.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
